target,Year,number,IF,PF,IF_proportion
bipolar,1986,singular,4.933223175201158e-11,3.42402723238092e-10,0.12593267749940226
bipolar,1987,plural,7.389225094895607e-11,7.252593803297457e-10,0.09246336747223177
bipolar,1987,singular,3.333076324861319e-11,3.6685387267659005e-10,0.08328846301546393
bipolar,1988,plural,7.389225094895607e-11,8.021508021308474e-10,0.08434773917695211
bipolar,1988,singular,3.266747735415037e-11,3.5573212629559844e-10,0.08410790599984562
bipolar,1989,plural,7.389225094895607e-11,1.0163508130338931e-09,0.0677759422554955
bipolar,1989,singular,3.266747735415037e-11,3.8956832997578365e-10,0.07736785177156726
bipolar,1990,plural,7.037081383879213e-11,1.4002005745337799e-09,0.047852701606461254
bipolar,1990,singular,6.434408710208141e-11,4.1247296054893104e-10,0.1349450222450426
bipolar,1991,plural,7.662436607832771e-11,1.5206473937188846e-09,0.04797202830910618
bipolar,1991,singular,1.0186539855675366e-10,4.881788822392556e-10,0.17264026086199907
bipolar,1992,plural,6.974184622667222e-11,1.7221477656624372e-09,0.03892083851814202
bipolar,1992,singular,1.2003409526260634e-10,5.430850570840664e-10,0.1810143694957759
bipolar,1993,plural,6.974184622667222e-11,2.528619884906951e-09,0.026840699426497857
bipolar,1993,singular,1.0032321749136357e-10,7.113954147985878e-10,0.12359358711323438
bipolar,1994,plural,7.508266528352283e-11,3.0559777407037e-09,0.023979947860459528
bipolar,1994,singular,1.4349755312575192e-10,8.403519943403888e-10,0.14585314746073041
bipolar,1995,plural,2.0284847115517984e-10,3.906810621044445e-09,0.049358953286465584
bipolar,1995,singular,2.6466909616321537e-10,1.0292445388035023e-09,0.2045492751686037
bipolar,1996,plural,2.5686873560732636e-10,5.077595122138234e-09,0.048152680842397474
bipolar,1996,singular,3.0668486004716197e-10,1.3583530015078995e-09,0.1841909226981384
bipolar,1997,plural,2.635297803389923e-10,7.043985696318446e-09,0.036062842587305
bipolar,1997,singular,3.2977632926010717e-10,1.7643903243198214e-09,0.15747377540195392
bipolar,1998,plural,3.507863008004161e-10,8.351744216840627e-09,0.04030854015269828
bipolar,1998,singular,3.41760350178585e-10,1.8961713152013513e-09,0.15271259416250493
bipolar,1999,plural,8.980295039341865e-10,1.1552373407092936e-08,0.07212854960210292
