Year,number,IF,PF,IF_proportion
1996,singular,6.908083977709621e-07,3.1344220848441337e-07,0.6878844717324406
1997,plural,1.6103916037257408e-06,4.797695426257092e-07,0.7704628930342587
1997,singular,6.895294694148861e-07,3.147175608438476e-07,0.6866134015225677
1998,plural,1.6398267989980214e-06,5.33016973923241e-07,0.7546915334798182
1998,singular,7.003574980592373e-07,3.211027741339967e-07,0.6856434039822821
1999,plural,1.6730845389409784e-06,5.761601756962673e-07,0.7438428233500642
1999,singular,6.936622737794907e-07,3.209890533769792e-07,0.683645953259095
2000,plural,1.7244817630645322e-06,6.298253366066042e-07,0.7324795322179584
2000,singular,6.959467098007924e-07,3.227073580778863e-07,0.6832022094115658
2001,plural,1.7397146015372757e-06,6.862849739608379e-07,0.7171124921487557
2001,singular,6.924286247513211e-07,3.2321827234413745e-07,0.6817611777592436
2002,plural,1.7467010420764626e-06,7.589512642236508e-07,0.6971043179792449
2002,singular,6.892519327783564e-07,3.27566569800367e-07,0.6778514858161657
2003,plural,1.775354774074692e-06,8.145680990675634e-07,0.6854855766112916
2003,singular,6.763490820222666e-07,3.1895137194961777e-07,0.6795426238611686
2004,plural,1.7704341968552021e-06,8.508132679972493e-07,0.6754166558459062
2004,singular,6.667788416046618e-07,3.205118631858477e-07,0.6753622194246666
2005,plural,1.752481402465216e-06,8.94257925202321e-07,0.6621284476887288
2005,singular,6.465362209297419e-07,3.2074192926314795e-07,0.6684077592374156
2006,plural,1.7344980751855216e-06,9.442028451164423e-07,0.6475146448936133
2006,singular,6.339630399096067e-07,3.204760623533111e-07,0.6642257619229119
2007,plural,1.6724744877449112e-06,9.60695021724943e-07,0.635156408172764
2007,singular,6.070903668426679e-07,3.1862881251212445e-07,0.6558040282429902
2008,plural,1.6063911711581915e-06,9.859814346567321e-07,0.6196606026290019
2008,singular,5.911029010787138e-07,3.142724641308889e-07,0.6528815823720453
2009,plural,1.5368997727685916e-06,9.924059602983704e-07,0.6076370099019196
2009,singular,5.593609837698363e-07,3.0080530175355784e-07,0.6502940108021976
2010,plural,1.466131320753445e-06,9.967533716499183e-07,0.5952902810576756
2010,singular,5.412180592261657e-07,2.943176776648174e-07,0.6477497434640326
2011,plural,1.439699055107356e-06,9.915895249028902e-07,0.592154739237614
2011,singular,5.265688699994188e-07,2.818075168527818e-07,0.6513907117572622
2012,plural,1.4236836916513089e-06,9.88291689184097e-07,0.5902563114712246
2012,singular,5.133590448252219e-07,2.7105219498851127e-07,0.6544514137088658
2013,plural,1.479616950969146e-06,1.0110537920850402e-06,0.5940636493584716
2013,singular,5.032999331863344e-07,2.7066869779815826e-07,0.6502846666358221
2014,plural,1.4625511314655552e-06,1.0071114603541327e-06,0.5922068610951116
2014,singular,4.845233965512983e-07,2.6240672036262745e-07,0.6486863838791139
2015,plural,1.475156679285407e-06,9.84173454922553e-07,0.5998205197288362
2015,singular,4.6836945664731543e-07,2.559667136561464e-07,0.6466188985855715
2016,plural,1.4975653417070856e-06,9.652214213292813e-07,0.6080775502710348
2016,singular,4.640439330770376e-07,2.590959435987734e-07,0.6417070169193172
2017,plural,1.469418816804624e-06,9.59028728801196e-07,0.6050856727226739
2017,singular,4.5275034443274337e-07,2.596478802380231e-07,0.6355298606225206
2018,plural,1.5120919637123808e-06,9.785664199846166e-07,0.6071053234799363
2018,singular,4.4880914408795836e-07,2.630114787682825e-07,0.6305087681880773
2019,plural,1.5286167270381346e-06,9.753135202794638e-07,0.6104869449441356
2019,singular,4.4113911553539387e-07,2.675295004347933e-07,0.6224899841676523
