Year,number,IF,PF,IF_proportion
1977,plural,9.411061356933266e-07,5.674576810626204e-08,0.9431320741182261
1977,singular,7.265418786788332e-07,4.5671429970754544e-08,0.9408564583656002
1978,plural,1.0456187385362144e-06,6.195730018367692e-08,0.9440604545261871
1978,singular,7.557772893629355e-07,4.737815518330143e-08,0.9410099806892688
1979,plural,1.1408358135480057e-06,6.833378650576904e-08,0.9434870124896209
1979,singular,7.60193877591012e-07,4.84737670305792e-08,0.9400572443413856
1980,plural,1.2344323193209738e-06,6.920577265968698e-08,0.9469133549522626
1980,singular,7.723392902239667e-07,4.809726229148706e-08,0.9413760123875258
1981,plural,1.2880228921158652e-06,6.45214589732403e-08,0.9522962341890778
1981,singular,7.654018849705322e-07,4.516569184923444e-08,0.9442789310344235
1982,plural,1.3530263255207007e-06,6.852117857241475e-08,0.9517981788331947
1982,singular,7.725194803377888e-07,4.555863232998312e-08,0.9443101684001601
1983,plural,1.3950504239643763e-06,7.814552562337985e-08,0.946955104210511
1983,singular,7.69175874506593e-07,5.102179478662967e-08,0.9377932945961722
1984,plural,1.417890013904922e-06,9.057050049080767e-08,0.9399583219935398
1984,singular,7.666409672998325e-07,5.717194529553501e-08,0.9306008143093817
1985,plural,1.3809731228097462e-06,1.0304399994189226e-07,0.9305641435249548
1985,singular,7.469377245952757e-07,6.587034156071188e-08,0.9189595375545024
1986,plural,1.3778786824941515e-06,1.1672985365608821e-07,0.9218993797822426
1986,singular,7.425089115131336e-07,7.918968950274789e-08,0.9036268415148276
1987,plural,1.3557454310076023e-06,1.3684079243347913e-07,0.9083196734068738
1987,singular,7.39750264061292e-07,9.619093561456595e-08,0.8849309788154183
1988,plural,1.3421300072033262e-06,1.6064541363428449e-07,0.8931008509942593
1988,singular,7.233135893505122e-07,1.135286183841828e-07,0.8643368877252247
1989,plural,1.372625550230643e-06,1.8467965647028795e-07,0.8814107500086499
1989,singular,7.179575729780334e-07,1.3762832319134747e-07,0.839141430676294
1990,plural,1.393812881013324e-06,2.116159493559652e-07,0.8681872747312703
1990,singular,7.027369207513497e-07,1.7223481175750774e-07,0.8031538558809794
1991,plural,1.4136116681885293e-06,2.38907218605422e-07,0.8554284489486681
1991,singular,6.88359834638453e-07,2.0040845628248913e-07,0.7745098938275288
1992,plural,1.4399816224033063e-06,2.7182294336533917e-07,0.841206789138757
1992,singular,6.895087737410408e-07,2.2944971056085676e-07,0.7503154772708126
1993,plural,1.4714976632527823e-06,3.094438174816979e-07,0.8262470604289144
1993,singular,6.808372520716668e-07,2.5244296668931146e-07,0.7295099996607081
1994,plural,1.5117235465467565e-06,3.4925219472312484e-07,0.8123284538438936
1994,singular,6.696872223373372e-07,2.7443357987538437e-07,0.7093236593959178
1995,plural,1.5775596048283761e-06,3.84252188515209e-07,0.8041340204911733
1995,singular,6.87784274695989e-07,2.9451180039213483e-07,0.7001802126047246
1996,plural,1.6330344320959555e-06,4.306575646413029e-07,0.791316938127307
1996,singular,6.908083977709621e-07,3.134422084844133e-07,0.6878844717324406
1997,plural,1.6103916037257408e-06,4.797695426257092e-07,0.7704628930342587
1997,singular,6.895294694148861e-07,3.1471756084384767e-07,0.6866134015225677
1998,plural,1.6398267989980214e-06,5.330169739232409e-07,0.7546915334798182
1998,singular,7.003574980592373e-07,3.211027741339967e-07,0.6856434039822821
1999,plural,1.6730845389409784e-06,5.761601756962673e-07,0.7438428233500642
1999,singular,6.936622737794907e-07,3.2098905337697913e-07,0.683645953259095
2000,plural,1.7244817630645322e-06,6.298253366066042e-07,0.7324795322179584
2000,singular,6.959467098007924e-07,3.227073580778862e-07,0.6832022094115658
2001,plural,1.7397146015372755e-06,6.86284973960838e-07,0.7171124921487557
2001,singular,6.924286247513211e-07,3.2321827234413745e-07,0.6817611777592436
2002,plural,1.7467010420764626e-06,7.589512642236508e-07,0.6971043179792449
2002,singular,6.892519327783565e-07,3.27566569800367e-07,0.6778514858161657
2003,plural,1.7753547740746918e-06,8.145680990675634e-07,0.6854855766112916
2003,singular,6.763490820222666e-07,3.189513719496178e-07,0.6795426238611686
2004,plural,1.7704341968552021e-06,8.508132679972493e-07,0.6754166558459062
2004,singular,6.667788416046618e-07,3.205118631858477e-07,0.6753622194246666
2005,plural,1.752481402465216e-06,8.94257925202321e-07,0.6621284476887288
2005,singular,6.465362209297419e-07,3.2074192926314795e-07,0.6684077592374156
2006,plural,1.7344980751855216e-06,9.442028451164423e-07,0.6475146448936133
2006,singular,6.339630399096066e-07,3.2047606235331113e-07,0.664225761922912
2007,plural,1.672474487744911e-06,9.60695021724943e-07,0.6351564081727639
2007,singular,6.070903668426679e-07,3.1862881251212445e-07,0.6558040282429902
2008,plural,1.6063911711581915e-06,9.859814346567321e-07,0.6196606026290019
2008,singular,5.911029010787138e-07,3.142724641308889e-07,0.6528815823720453
2009,plural,1.5368997727685916e-06,9.924059602983704e-07,0.6076370099019196
2009,singular,5.593609837698363e-07,3.008053017535579e-07,0.6502940108021976
2010,plural,1.4661313207534453e-06,9.967533716499183e-07,0.5952902810576757
2010,singular,5.412180592261657e-07,2.943176776648174e-07,0.6477497434640326
2011,plural,1.439699055107356e-06,9.915895249028902e-07,0.592154739237614
2011,singular,5.265688699994188e-07,2.818075168527818e-07,0.6513907117572622
2012,plural,1.4236836916513089e-06,9.88291689184097e-07,0.5902563114712246
2012,singular,5.133590448252219e-07,2.7105219498851127e-07,0.6544514137088658
2013,plural,1.4796169509691457e-06,1.0110537920850402e-06,0.5940636493584716
2013,singular,5.032999331863344e-07,2.7066869779815826e-07,0.6502846666358221
2014,plural,1.4625511314655552e-06,1.0071114603541327e-06,0.5922068610951116
2014,singular,4.845233965512983e-07,2.6240672036262745e-07,0.6486863838791139
2015,plural,1.475156679285407e-06,9.84173454922553e-07,0.5998205197288362
2015,singular,4.683694566473154e-07,2.559667136561464e-07,0.6466188985855715
2016,plural,1.4975653417070856e-06,9.652214213292813e-07,0.6080775502710348
2016,singular,4.640439330770376e-07,2.590959435987734e-07,0.6417070169193172
2017,plural,1.469418816804624e-06,9.59028728801196e-07,0.6050856727226739
2017,singular,4.5275034443274337e-07,2.596478802380231e-07,0.6355298606225206
2018,plural,1.5120919637123808e-06,9.785664199846166e-07,0.6071053234799363
2018,singular,4.488091440879583e-07,2.630114787682825e-07,0.6305087681880773
2019,plural,1.5286167270381346e-06,9.753135202794638e-07,0.6104869449441356
2019,singular,4.4113911553539387e-07,2.675295004347933e-07,0.6224899841676523
